date,content,tweets-cleaned,tweets-norm,stopwords-remove,stemmed_tweets,tokenized_content,tokenized_without_stemmed,label-fix
2023-06-24 02:04:04,"@FixedShadow007 @sanjaygupta_1 @ajitanjum modiji ke paas inhi biskuton ka pura box hai. jante ho na kis kis ko khila rahe hai. shayad kuch biskita whatsapp university se hote hue aap ke paas bhi aa gaye ho. sorry, iss bhasha ke liye. lekin agar aapne logic ke adhar par ajit ji ki baat ko kata hota to me ye nahi kehta.",modiji ke paas inhi biskuton ka pura box hai jante ho na kis kis ko khila rahe hai shayad kuch biskita whatsapp university se hote hue aap ke paas bhi aa gaye ho sorry iss bhasha ke liye lekin agar aapne logic ke adhar par ajit ji ki baat ko kata hota to me ye nahi kehta,modiji ke paas inhi biskuton kak pura box hai jante ho nya kis kis kok khila rahe hai shayad kuch biskita whatsapp university se hote hue aap ke paas bhi aa gaye ho sorry iss bhasha ke liye lekin agar aapne logic ke adhar par ajit ji ki baat kok kata hota tapi me ye nahi kehta,modiji paas inhi biskuton kak pura box hai jante ho nya kis kis khila rahe hai shayad kuch biskita whatsapp university hote hue aap paas bhi aa gaye ho sorry iss bhasha liye lekin aapne logic adhar par ajit ji ki baat hota me ye nahi kehta,modiji paas inhi biskuton kak pura box hai jante ho nya kis kis khila rahe hai shayad kuch biskita whatsapp university hote hue aap paas bhi aa gaye ho sorry iss bhasha liye lekin aapne logic adhar par ajit ji ki baat hota me ye nahi kehta,"['modiji', 'paas', 'inhi', 'biskuton', 'kak', 'pura', 'box', 'hai', 'jante', 'ho', 'nya', 'kis', 'kis', 'khila', 'rahe', 'hai', 'shayad', 'kuch', 'biskita', 'whatsapp', 'university', 'hote', 'hue', 'aap', 'paas', 'bhi', 'aa', 'gaye', 'ho', 'sorry', 'iss', 'bhasha', 'liye', 'lekin', 'aapne', 'logic', 'adhar', 'par', 'ajit', 'ji', 'ki', 'baat', 'hota', 'me', 'ye', 'nahi', 'kehta']","['modiji', 'paas', 'inhi', 'biskuton', 'kak', 'pura', 'box', 'hai', 'jante', 'ho', 'nya', 'kis', 'kis', 'khila', 'rahe', 'hai', 'shayad', 'kuch', 'biskita', 'whatsapp', 'university', 'hote', 'hue', 'aap', 'paas', 'bhi', 'aa', 'gaye', 'ho', 'sorry', 'iss', 'bhasha', 'liye', 'lekin', 'aapne', 'logic', 'adhar', 'par', 'ajit', 'ji', 'ki', 'baat', 'hota', 'me', 'ye', 'nahi', 'kehta']",Spam/Hapus
2023-06-24 01:37:33,@txtdaribogor @Hafidh_M @adriansyahyasin Pake transpakuan nyampenya brp jam wkwkwk,pake transpakuan nyampenya brp jam wkwkwk,pakai transpakuan sampainya berapa jam wkwk,pakai transpakuan sampainya berapa jam wkwk,pakai transpakuan sampai berapa jam wkwk,"['pakai', 'transpakuan', 'sampai', 'berapa', 'jam', 'wkwk']","['pakai', 'transpakuan', 'sampainya', 'berapa', 'jam', 'wkwk']",Netral
2023-06-23 20:25:33,"halo kakak2 yg domisili kota bogor atau kerja di kota bogor, boleh minta waktunya sebentar untuk bantu isi kuesioner penelitian aku? terimakasih sebelumnya🫶✨

link kuesioner :

https://t.co/xGRsyPoRTj

#kuesioner #transportasi #transportasiumum #kotabogor #bogorkota #biskita","halo kakak yg domisili kota bogor atau kerja di kota bogor boleh minta waktunya sebentar untuk bantu isi kuesioner penelitian aku terimakasih sebelumnya 

link kuesioner 

 

",halo kakak yang domisili kota bogor atau kerja di kota bogor boleh meminta waktunya sebentar untuk bantu isi kuesioner penelitian aku terimakasih sebelumnya link kuesioner,halo kakak domisili kota bogor kerja kota bogor sebentar bantu isi kuesioner penelitian terimakasih link kuesioner,halo kakak domisili kota bogor kerja kota bogor sebentar bantu isi kuesioner teliti terimakasih link kuesioner,"['halo', 'kakak', 'domisili', 'kota', 'bogor', 'kerja', 'kota', 'bogor', 'sebentar', 'bantu', 'isi', 'kuesioner', 'teliti', 'terimakasih', 'link', 'kuesioner']","['halo', 'kakak', 'domisili', 'kota', 'bogor', 'kerja', 'kota', 'bogor', 'sebentar', 'bantu', 'isi', 'kuesioner', 'penelitian', 'terimakasih', 'link', 'kuesioner']",Spam/Hapus
2023-06-23 16:16:29,@zvkit @AsahPolaPikir transpakuan,transpakuan,transpakuan,transpakuan,transpakuan,['transpakuan'],['transpakuan'],Spam/Hapus
2023-06-23 14:40:59,"Satu Bulan Pakai Tarif, Jumlah Penumpang BisKita Turun Setengahnya https://t.co/ZjxMm6a9II",satu bulan pakai tarif jumlah penumpang biskita turun setengahnya,satu bulan pakai tarif jumlah penumpang biskita turun setengahnya,pakai tarif penumpang biskita turun setengahnya,pakai tarif tumpang biskita turun tengah,"['pakai', 'tarif', 'tumpang', 'biskita', 'turun', 'tengah']","['pakai', 'tarif', 'penumpang', 'biskita', 'turun', 'setengahnya']",Negatif
2023-06-23 09:38:10,"@asumsico jgnkan ini, mrt lrt ampe transpakuan bogor aja uji coba gratis dulu, apalagi tp bogor ampe setaun, itung2 tester narik pelanggan, kalo cocok kan nnti banyak pengguna langganan, buat balik modal juga tuh",jgnkan ini mrt lrt ampe transpakuan bogor aja uji coba gratis dulu apalagi tp bogor ampe setaun itung tester narik pelanggan kalo cocok kan nnti banyak pengguna langganan buat balik modal juga tuh,jgnkan ini mrt lrt sampai transpakuan bogor saja uji coba gratis dulu apalagi tapi bogor sampai setaun itung tester menarik pelanggan kalo cocok kan nanti banyak pengguna langganan buat balik modal juga tuh,jgnkan mrt lrt transpakuan bogor uji coba gratis bogor setaun itung tester menarik pelanggan kalo cocok pengguna langganan modal tuh,jgnkan mrt lrt transpakuan bogor uji coba gratis bogor taun itung tester tarik langgan kalo cocok guna langgan modal tuh,"['jgnkan', 'mrt', 'lrt', 'transpakuan', 'bogor', 'uji', 'coba', 'gratis', 'bogor', 'taun', 'itung', 'tester', 'tarik', 'langgan', 'kalo', 'cocok', 'guna', 'langgan', 'modal', 'tuh']","['jgnkan', 'mrt', 'lrt', 'transpakuan', 'bogor', 'uji', 'coba', 'gratis', 'bogor', 'setaun', 'itung', 'tester', 'menarik', 'pelanggan', 'kalo', 'cocok', 'pengguna', 'langganan', 'modal', 'tuh']",Netral
2023-06-23 09:35:52,"@literaryStanza @asumsico Lrt, transpakuan bogor aja awal2 uji coba gratis, kan itung2 tester bep, buat narik pengguna dulu kalo cocok kan nnti banyak peminatnya buat balik modal tuh, yakali langsung jeplak bayar 300rb",lrt transpakuan bogor aja awal uji coba gratis kan itung tester bep buat narik pengguna dulu kalo cocok kan nnti banyak peminatnya buat balik modal tuh yakali langsung jeplak bayar rb,lrt transpakuan bogor saja awal uji coba gratis kan itung tester bep buat menarik pengguna dulu kalo cocok kan nanti banyak peminatnya buat balik modal tuh yakali langsung jeplak bayar ribu,lrt transpakuan bogor uji coba gratis itung tester bep menarik pengguna kalo cocok peminatnya modal tuh yakali langsung jeplak bayar ribu,lrt transpakuan bogor uji coba gratis itung tester bep tarik guna kalo cocok minat modal tuh yakali langsung jeplak bayar ribu,"['lrt', 'transpakuan', 'bogor', 'uji', 'coba', 'gratis', 'itung', 'tester', 'bep', 'tarik', 'guna', 'kalo', 'cocok', 'minat', 'modal', 'tuh', 'yakali', 'langsung', 'jeplak', 'bayar', 'ribu']","['lrt', 'transpakuan', 'bogor', 'uji', 'coba', 'gratis', 'itung', 'tester', 'bep', 'menarik', 'pengguna', 'kalo', 'cocok', 'peminatnya', 'modal', 'tuh', 'yakali', 'langsung', 'jeplak', 'bayar', 'ribu']",Netral
2023-06-23 08:39:17,Ini kalo biskita bogor bisa ga sih? Sayang nih gua punya 3 kartu yg masih ada saldonya 😂😂,ini kalo biskita bogor bisa ga sih sayang nih gua punya kartu yg masih ada saldonya,ini kalo biskita bogor bisa enggak sih sayang nih aku punya kartu yang masih ada saldonya,kalo biskita bogor bisa sih sayang nih kartu saldonya,kalo biskita bogor bisa sih sayang nih kartu saldo,"['kalo', 'biskita', 'bogor', 'bisa', 'sih', 'sayang', 'nih', 'kartu', 'saldo']","['kalo', 'biskita', 'bogor', 'bisa', 'sih', 'sayang', 'nih', 'kartu', 'saldonya']",Netral
2023-06-23 07:55:28,@txtdaribogor Masa2 kuliah naik bis trans pakuan (bubulak-cidangiang) lewat jalan baru macetnya gak ngotak. 😅,masa kuliah naik bis transpakuan bubulak cidangiang lewat jalan baru macetnya gak ngotak,masa kuliah naik bis transpakuan bubulak cidangiang lewat jalan baru macetnya enggak ngotak,kuliah naik bis transpakuan bubulak cidangiang jalan macetnya ngotak,kuliah naik bis transpakuan bubulak cidangiang jalan macet ngotak,"['kuliah', 'naik', 'bis', 'transpakuan', 'bubulak', 'cidangiang', 'jalan', 'macet', 'ngotak']","['kuliah', 'naik', 'bis', 'transpakuan', 'bubulak', 'cidangiang', 'jalan', 'macetnya', 'ngotak']",Negatif
2023-06-23 07:42:44,"@Hafidh_M @adriansyahyasin Bogor (Transpakuan) - Cibubur 
LRT Cibubur - Cawang - Halim

jadi opsi ke 2 dari Bogor","bogor transpakuan cibubur 
lrt cibubur cawang halim

jadi opsi ke dari bogor",bogor transpakuan cibubur lrt cibubur cawang halim jadi opsi ke dari bogor,bogor transpakuan cibubur lrt cibubur cawang halim opsi bogor,bogor transpakuan cibubur lrt cibubur cawang halim opsi bogor,"['bogor', 'transpakuan', 'cibubur', 'lrt', 'cibubur', 'cawang', 'halim', 'opsi', 'bogor']","['bogor', 'transpakuan', 'cibubur', 'lrt', 'cibubur', 'cawang', 'halim', 'opsi', 'bogor']",Spam/Hapus
2023-06-23 07:07:41,Perumda Transpakuan mengusulkan tarif khusus untuk sejumlah kalangan. https://t.co/8rsk7iPnPu,perumda transpakuan mengusulkan tarif khusus untuk sejumlah kalangan,perumda transpakuan mengusulkan tarif khusus untuk sejumlah kalangan,perumda transpakuan mengusulkan tarif khusus kalangan,perumda transpakuan usul tarif khusus kalang,"['perumda', 'transpakuan', 'usul', 'tarif', 'khusus', 'kalang']","['perumda', 'transpakuan', 'mengusulkan', 'tarif', 'khusus', 'kalangan']",Netral
2023-06-23 01:31:52,"biskita ini udah berbayar malah makin jelek banget kualitasnya, apa-apaan gue udah nunggu hampir sejam belum datang juga busnya:) kejadian kayak gini, gak sekali dua kali lagi:)",biskita ini udah berbayar malah makin jelek banget kualitasnya apa apaan gue udah nunggu hampir sejam belum datang juga busnya kejadian kayak gini gak sekali dua kali lagi,biskita ini sudah berbayar malah makin jelek banget kualitasnya apa apaan aku sudah menunggu hampir sejam belum datang juga busnya kejadian kayak begini enggak sekali dua kali lagi,biskita berbayar jelek banget kualitasnya apa menunggu sejam belum datang busnya kejadian kayak begini kali,biskita bayar jelek banget kualitas apa tunggu jam belum datang bus jadi kayak begini kali,"['biskita', 'bayar', 'jelek', 'banget', 'kualitas', 'apa', 'tunggu', 'jam', 'belum', 'datang', 'bus', 'jadi', 'kayak', 'begini', 'kali']","['biskita', 'berbayar', 'jelek', 'banget', 'kualitasnya', 'apa', 'menunggu', 'sejam', 'belum', 'datang', 'busnya', 'kejadian', 'kayak', 'begini', 'kali']",Negatif
2023-06-22 15:22:53,"@thiadoraemon @SukabumiiFess Sekalian aku tambahin tarif nya kwkw
1. Bsd &gt; bogor (5-8k) 
2. Biskita (4k) 
3. Angkot ciawi-lido (10k)","sekalian aku tambahin tarif nya kwkw
 bsd bogor 
 biskita 
 angkot ciawi lido",sekalian aku tambahkan tarif nya kwkw bsd bogor biskita angkot ciawi lido,tambahkan tarif nya kwkw bsd bogor biskita angkot ciawi lido,tambah tarif nya kwkw bsd bogor biskita angkot ciawi lido,"['tambah', 'tarif', 'nya', 'kwkw', 'bsd', 'bogor', 'biskita', 'angkot', 'ciawi', 'lido']","['tambahkan', 'tarif', 'nya', 'kwkw', 'bsd', 'bogor', 'biskita', 'angkot', 'ciawi', 'lido']",Netral
2023-06-22 10:41:51,"@SukabumiiFess 1. dari BSD naik KRL ke Bogor
2. dari stasiun bogor naik BisKita arah ciawi, turun di Halte Sindang Sari 2
3. dari halte naik angkot ke cicurug turun deh di Lido .","dari bsd naik krl ke bogor
 dari stasiun bogor naik biskita arah ciawi turun di halte sindang sari 
 dari halte naik angkot ke cicurug turun deh di lido",dari bsd naik krl ke bogor dari stasiun bogor naik biskita arah ciawi turun di halte sindang sari dari halte naik angkot ke cicurug turun deh di lido,bsd naik krl bogor stasiun bogor naik biskita arah ciawi turun halte sindang sari halte naik angkot cicurug turun deh lido,bsd naik krl bogor stasiun bogor naik biskita arah ciawi turun halte sindang sari halte naik angkot cicurug turun deh lido,"['bsd', 'naik', 'krl', 'bogor', 'stasiun', 'bogor', 'naik', 'biskita', 'arah', 'ciawi', 'turun', 'halte', 'sindang', 'sari', 'halte', 'naik', 'angkot', 'cicurug', 'turun', 'deh', 'lido']","['bsd', 'naik', 'krl', 'bogor', 'stasiun', 'bogor', 'naik', 'biskita', 'arah', 'ciawi', 'turun', 'halte', 'sindang', 'sari', 'halte', 'naik', 'angkot', 'cicurug', 'turun', 'deh', 'lido']",Positif
2023-06-22 05:54:24,"@bogorfess_ Tetep asik nder pake biskita meski udh berbayar. Aku prefer ini sih kalau ke kota karena ga ngetem lama dan berac :"") btw aku juga dari pamijahan loh nder 😭😭",tetep asik nder pake biskita meski udh berbayar aku prefer ini sih kalau ke kota karena ga ngetem lama dan berac btw aku juga dari pamijahan loh nder,tetap asik nder pakai biskita meski sudah berbayar aku prefer ini sih kalau ke kota karena enggak ngetem lama dan berac btw aku juga dari pamijahan loh nder,asik nder pakai biskita berbayar prefer sih kota ngetem lama berac btw pamijahan loh nder,asik nder pakai biskita bayar prefer sih kota ngetem lama berac btw pamijahan loh nder,"['asik', 'nder', 'pakai', 'biskita', 'bayar', 'prefer', 'sih', 'kota', 'ngetem', 'lama', 'berac', 'btw', 'pamijahan', 'loh', 'nder']","['asik', 'nder', 'pakai', 'biskita', 'berbayar', 'prefer', 'sih', 'kota', 'ngetem', 'lama', 'berac', 'btw', 'pamijahan', 'loh', 'nder']",Positif
2023-06-22 04:30:39,"@infobogor Wah,bakal pake @Biskita_id kah?",wah bakal pake kah,wah bakal pakai kah,pakai kah,pakai kah,"['pakai', 'kah']","['pakai', 'kah']",Positif
2023-06-22 03:54:24,"@bogorfess_ Ibu gue termasuk kaum yg masih males naek biskita dan lebih milih angkot. Alesannya, udh tua harus jalan dr halte ke tempat tujuan cangkeul katanya. Mending angkot, bebas turun dimana aja🙏",ibu gue termasuk kaum yg masih males naek biskita dan lebih milih angkot alesannya udh tua harus jalan dr halte ke tempat tujuan cangkeul katanya mending angkot bebas turun dimana aja,ibu aku termasuk kaum yang masih malas naik biskita dan lebih memilih angkot alesannya sudah tua harus jalan dari halte ke tempat tujuan cangkeul katanya mending angkot bebas turun dimana saja,kaum malas naik biskita memilih angkot alesannya tua jalan halte tujuan cangkeul mending angkot bebas turun dimana,kaum malas naik biskita pilih angkot alesannya tua jalan halte tuju cangkeul mending angkot bebas turun mana,"['kaum', 'malas', 'naik', 'biskita', 'pilih', 'angkot', 'alesannya', 'tua', 'jalan', 'halte', 'tuju', 'cangkeul', 'mending', 'angkot', 'bebas', 'turun', 'mana']","['kaum', 'malas', 'naik', 'biskita', 'memilih', 'angkot', 'alesannya', 'tua', 'jalan', 'halte', 'tujuan', 'cangkeul', 'mending', 'angkot', 'bebas', 'turun', 'dimana']",Negatif
2023-06-22 01:17:21,"@bogorfess_ Mau tanya dong, kalau dari talang mau ke bubulak naik biskita nomor brpa? Soalnya kebiasaan naik angkot 32, dan bener si kurang bersosialisasi (soalnya aku jg gatau cara naiknya🥲)
Oiyaaa,kalau naik biskita sampai bubulak,itu sampai terminal bubulak?","mau tanya dong kalau dari talang mau ke bubulak naik biskita nomor brpa soalnya kebiasaan naik angkot dan bener si kurang bersosialisasi soalnya aku jg gatau cara naiknya 
oiya kalau naik biskita sampai bubulak itu sampai terminal bubulak",mau tanya dong kalau dari talang mau ke bubulak naik biskita nomor berapa soalnya kebiasaan naik angkot dan benar sih kurang bersosialisasi soalnya aku juga enggak tau cara naiknya oiya kalau naik biskita sampai bubulak itu sampai terminal bubulak,mau tanya talang mau bubulak naik biskita nomor berapa kebiasaan naik angkot sih kurang bersosialisasi tau naiknya oiya naik biskita bubulak terminal bubulak,mau tanya talang mau bubulak naik biskita nomor berapa biasa naik angkot sih kurang sosial tau naik oiya naik biskita bubulak terminal bubulak,"['mau', 'tanya', 'talang', 'mau', 'bubulak', 'naik', 'biskita', 'nomor', 'berapa', 'biasa', 'naik', 'angkot', 'sih', 'kurang', 'sosial', 'tau', 'naik', 'oiya', 'naik', 'biskita', 'bubulak', 'terminal', 'bubulak']","['mau', 'tanya', 'talang', 'mau', 'bubulak', 'naik', 'biskita', 'nomor', 'berapa', 'kebiasaan', 'naik', 'angkot', 'sih', 'kurang', 'bersosialisasi', 'tau', 'naiknya', 'oiya', 'naik', 'biskita', 'bubulak', 'terminal', 'bubulak']",Netral
2023-06-21 16:05:03,Catat! Ini Info Trayek Biskita Transpakuan Bogor Selama Revitalisasi Jembatan Otista https://t.co/iXwGuF4z97,catat ini info trayek biskita transpakuan bogor selama revitalisasi jembatan otista,catat ini info trayek biskita transpakuan bogor selama revitalisasi jembatan otista,catat info trayek biskita transpakuan bogor revitalisasi jembatan otista,catat info trayek biskita transpakuan bogor revitalisasi jembatan otista,"['catat', 'info', 'trayek', 'biskita', 'transpakuan', 'bogor', 'revitalisasi', 'jembatan', 'otista']","['catat', 'info', 'trayek', 'biskita', 'transpakuan', 'bogor', 'revitalisasi', 'jembatan', 'otista']",Netral
2023-06-21 14:45:16,"@bogorfess_ Real, sabtu kemaren gw naek biskita cuma 2 orang, weekend yg biasanya penuh jaman gratisan dulu skrg bisa sepi gitu",real sabtu kemaren gw naek biskita cuma orang weekend yg biasanya penuh jaman gratisan dulu skrg bisa sepi gitu,real sabtu kemarin aku naik biskita cuma orang weekend yang biasanya penuh jaman gratisan dulu sekarang bisa sepi begitu,real sabtu kemarin naik biskita orang weekend penuh jaman gratisan sekarang bisa sepi,real sabtu kemarin naik biskita orang weekend penuh jaman gratis sekarang bisa sepi,"['real', 'sabtu', 'kemarin', 'naik', 'biskita', 'orang', 'weekend', 'penuh', 'jaman', 'gratis', 'sekarang', 'bisa', 'sepi']","['real', 'sabtu', 'kemarin', 'naik', 'biskita', 'orang', 'weekend', 'penuh', 'jaman', 'gratisan', 'sekarang', 'bisa', 'sepi']",Negatif
2023-06-21 13:20:00,[Bgr] biskita jadwal paling pagi jam berapa ya?? Jam set6 udah ada yg beroperasi belum??,bgr biskita jadwal paling pagi jam berapa ya jam set udah ada yg beroperasi belum,bgr biskita jadwal paling pagi jam berapa ya jam set sudah ada yang beroperasi belum,bgr biskita jadwal pagi jam berapa ya jam set beroperasi belum,bgr biskita jadwal pagi jam berapa ya jam set operasi belum,"['bgr', 'biskita', 'jadwal', 'pagi', 'jam', 'berapa', 'ya', 'jam', 'set', 'operasi', 'belum']","['bgr', 'biskita', 'jadwal', 'pagi', 'jam', 'berapa', 'ya', 'jam', 'set', 'beroperasi', 'belum']",Netral
2023-06-21 12:15:00,"🚨 review biskita kota [BGR] setelah berbayar 4rbu dari sender orang kabupaten,btw sender dari pamijahan dan selalu naek biskita kalo main ke kota bahkan dari awal uji coba , semoga biskita bisa lebih baik kedepannya. https://t.co/DpnPgZvidF",review biskita kota bgr setelah berbayar rbu dari sender orang kabupaten btw sender dari pamijahan dan selalu naek biskita kalo main ke kota bahkan dari awal uji coba semoga biskita bisa lebih baik kedepannya,review biskita kota bgr setelah berbayar rbu dari sender orang kabupaten btw sender dari pamijahan dan selalu naik biskita kalo main ke kota bahkan dari awal uji coba semoga biskita bisa lebih baik kedepannya,review biskita kota bgr berbayar rbu sender orang kabupaten btw sender pamijahan naik biskita kalo main kota uji coba semoga biskita bisa kedepannya,review biskita kota bgr bayar rbu sender orang kabupaten btw sender pamijahan naik biskita kalo main kota uji coba moga biskita bisa depan,"['review', 'biskita', 'kota', 'bgr', 'bayar', 'rbu', 'sender', 'orang', 'kabupaten', 'btw', 'sender', 'pamijahan', 'naik', 'biskita', 'kalo', 'main', 'kota', 'uji', 'coba', 'moga', 'biskita', 'bisa', 'depan']","['review', 'biskita', 'kota', 'bgr', 'berbayar', 'rbu', 'sender', 'orang', 'kabupaten', 'btw', 'sender', 'pamijahan', 'naik', 'biskita', 'kalo', 'main', 'kota', 'uji', 'coba', 'semoga', 'biskita', 'bisa', 'kedepannya']",Positif
2023-06-21 06:33:50,Biskita gamau bikin pembayaran via qris juga ta kek transbms? '-',biskita gamau bikin pembayaran via qris juga ta kek transbms,biskita enggak mau bikin pembayaran via qris juga ta kayak transbms,biskita mau bikin pembayaran via qris ta kayak transbms,biskita mau bikin bayar via qris ta kayak transbms,"['biskita', 'mau', 'bikin', 'bayar', 'via', 'qris', 'ta', 'kayak', 'transbms']","['biskita', 'mau', 'bikin', 'pembayaran', 'via', 'qris', 'ta', 'kayak', 'transbms']",Netral
